issuekey,title,description,component_1,component_2,component_3,f4-audit,f4-auth,f4-camel,f4-core,f4-import-export,f4-java-client,f4-jmeter,f4-ldp,f4-message-consumer,f4-oaiprovider,f4-ontology,f4-transform,f4-vagrant,f4-webapp-plus,legacy - FeSL,legacy - Fedora,legacy - GSearch,legacy - OAIProvider,legacy - OSGi,legacy - Trippi,legacy - community extensions,legacy - java-client
FCREPO-599,ImageManipulation service fails with FeSL enabled,"Integration tests which use the imagemanip service fail when FeSL is enabled. Call to the imagemanip service hang until eventually timing out.  With FeSL enabled, an individual request to http://localhost:8080/imagemanip/ImageManipulation?op=resize&newWidth=50&url=http://localhost:8080/tomcat.gif hangs and eventually times out.  Workarounds for imagemanip: - remove fedora.war - disable fesl - comment out calls to PopulatePolicyDatabase.addDocuments(); and pdp = new PDP(config.getDefaultPDPConfig()); in MelcoePDPImpl",Fedora,FeSL,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
FCREPO-615,"With FeSL enabled, authentication is required for every resource","When FeSL in enabled in the installer, the generated Fedora web.xml sets the AuthFilterJAAS with a wildcard url-pattern which requires authentication for every resource, even if APIA-Auth is not required.  For example, if you set API-A authentication to false (the installer default), but enable FeSL, requests to API-A resources such as http://localhost:8080/fedora/search still require authentication. Also, requests to resources such as http://localhost:8080/fedora/ri/index.xsl also require authentication.",Fedora,FeSL,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
FCREPO-632,FeSL Special Topics Review,Review branch for 2010-02-09 Special Topics review of FeSL,Fedora,FeSL,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
FCREPO-636,Enable policy enforcement by declaration in RELS-EXT and RELS-INT,"Once policies are represented in the repository as objects (FCREPO-577), we should enable objects and datastreams to declare or ""subscribe"" to policies via RELS-EXT and RELS-INT (assuming an as-yet-to-be-decided predicate).",Fedora,FeSL,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
FCREPO-660,Regression: setting FEDORA_HOME via context-param fails,"The setting of FEDORA_HOME is supported by three means: 1) fedora.home context init-param in web.xml 2) via a system property (e.g. -Dfedora.home=/foo) 3) environment variable (e.g. export FEDORA_HOME=/bar)  To reproduce: define fedora.home in web.xml, ensure that the FEDORA_HOME environment variable is not set, start Fedora. Tomcat should report ""SEVERE: Error filterStart"", Jetty reports ""failed AuthFilterJAAS javax.servlet.ServletException: FEDORA_HOME environment variable not set"".  Quick workaround if FeSL is not being used is to simply comment out the AuthFilterJAAS filter from Fedora's web.xml.  Prior to FeSL, none of the servlet filters required the value of FEDORA_HOME. Moreover, if the value of FEDORA_HOME is set via system property or environment variable, the problem does not manifest itself. Currently, ServletController retrieves the fedora.home context-param and sets the ""servlet.fedora.home"" System Property to make the value available to Constants.FedoraHome. However, if we can't guarantee that ServletController is loaded first, then the fedora.home context-param will not be available to the filters.  Note: the load-on-startup element only controls servlet load order, and doesn't ensure a servlet will load before any of the filters.",Fedora,FeSL,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
FCREPO-664,Drop the old servletfilter AuthN package in favor of FeSL's AuthN,"Default to using org.fcrepo.server.security.jaas.* (FeSL's authN) instead of org.fcrepo.server.security.servletfilters.* (original authN).  This includes: 1) Making FeSL's authN the out-of-box authN configuration, with xml user file pre-configured 2) Deprecating the old servlet filters (or completely removing them ...?) 3) Updating Fedora's system docs to explain how to use/configure/customize this  See related discussion here: http://www.mail-archive.com/fedora-commons-developers@lists.sourceforge.net/msg00779.html",Fedora,FeSL,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
FCREPO-668,Improved Authentication Challenge Control,"From https://fedora-commons.org/confluence/display/~cwilper/2010/03/18/Authentication+Challenge+Control+-+A+Thought+Experiment  Fedora's SOAP API has historically been split into two: API-A and API-M. The REST API, being resource-oriented, naturally isn't. And the control over which endpoints can be set to require authentication is inconsistent across the two. The old ""Authenticate for API-A? Authenticate for API-M?"" options no longer make sense when you look at Fedora's APIs as a whole.  Here's one way the situation could be improved.     1. For the SOAP API (all read-oriented and write-oriented methods), always require authentication.    2. For the REST API, on a per-verb basis (POST/PUT/DELETE/GET), offer the following options at install time:          1. Proactive Challenge: Always require authentication.          2. Reactive Challenge: Only require authentication if an un-authenticated request failed due to AuthZ rules. ",Fedora,FeSL,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
FCREPO-671,Allow use of FeSL AuthN without FeSL AuthZ during install,"While FeSL is in the experimental phase, it would be helpful if people could try out the authentication part without the authorization part.  It is possible to configure this after the fact today, as evidenced by this thread: http://article.gmane.org/gmane.comp.cms.fedora-commons.devel/1609  ..but the process is manual.  This improvement would add an install-time option to enable FeSL authentication without needing to enable its authorization.",Fedora,FeSL,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
FCREPO-736,System test failures when fesl authn enabled (fesl authz disabled),FeSL AuthN is the default for 3.4 (see FCREPO-671) but this results in some integration test failures:   Eg ConfigA  Failed tests:   testFindObjects(org.fcrepo.test.api.TestRESTAPI)   testResumeFindObjects(org.fcrepo.test.api.TestRESTAPI)   testFindObjectsBadSyntax(org.fcrepo.test.api.TestRESTAPI)   testUpload(org.fcrepo.test.api.TestRESTAPI)  Failed tests:   testXACMLAPIMAccess(org.fcrepo.test.api.TestXACMLPolicies)  Tests in error:   testXACMLMultiOwnerAccess(org.fcrepo.test.api.TestXACMLPolicies)   testXACMLUnmodifiableContentModel(org.fcrepo.test.api.TestXACMLPolicies)  Not investigated the reason for these - could be issues with the tests rather than fesl AuthN?,Fedora,FeSL,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
FCREPO-753,Credentials not passed through for API-A REST calls when FeSL AuthN enabled,"With FeSL AuthN enabled and API-A auth required turned off, it is not possible to authenticate for API-A REST calls.    Tested by supplying pre-emptive auth credentials (BASIC, DIGEST) using WizTools.org RESTClient - Fedora is not picking up the supplied login ID.  One impact of this is that if an object is deleted, access is (correctly) restricted by a XACML policy for unauthenticated users, however it is not possible to authenticate (eg as administrator) to view the object profile.  Thus once an object is deleted in the web admin client, the client can no longer retrieve the resource.  It would seem that the fix for FCREPO-615, http://fedora-commons.svn.sourceforge.net/viewvc/fedora-commons?revision=8467&view=revision, results in skipping retrieving preemptively-supplied credentials.",Fedora,FeSL,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
