Issue Type,Issue key,Issue id,title,Assignee,Reporter,Status,Resolution,Updated,top_component,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,description
Bug,QPID-3132,12500873,Threshold alert on a queue used to receive alerts causes broker crash,gsim,gsim,Closed,Fixed,2017-03-14 20:08,C++,C++ Broker,,,,,,,"If a queue bound to the QMF exchange for receiving events reaches a configured threhold and generates an alert, the alert will result in an infinite recursion where the message for the event is enqueued triggering a further event etc etc"
Bug,QPID-6568,12835121,[amqp1.0] bump the minimum required proton version to 0.7,kgiusti,kgiusti,Closed,Fixed,2016-09-08 10:25,C++,C++ Broker,,,,,,,"Recent testing of qpidd against proton 0.6 for QPID-6563 shows a leak of session objects on long lived connections.

Upgrading the proton library to 0.7+ resolved the problem. "
Bug,QPID-6790,12904918,qpidd crashes in the interop_tests unit test.,kgiusti,kgiusti,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,,,,,,,"Crashes consistently on certain systems, like RHEL6 or Fedora 21.  Appears to be a race that leaves stale pointers to pn_delivery_t objects after a link has been closed.

delivery passed to pni_add_tpwork has a null link ptr.  likely that the delivery has already been freed.

Backtrace:

Thread 1 (Thread 0x7fb832b44700 (LWP 15941)):
#0  0x00007fb838f34c65 in pni_add_tpwork (delivery=0x7fb80c046290) at /home/chug/git/qpid-proton/proton-c/src/engine/engine.c:704
#1  0x00007fb838f38359 in pn_delivery_update (delivery=0x7fb80c046290, state=36) at /home/chug/git/qpid-proton/proton-c/src/engine/engine.c:1981
---Type <return> to continue, or q <return> to quit---
#2  0x00007fb839269e41 in qpid::broker::amqp::Session::accepted (this=0x7fb80c00f470, delivery=0x7fb80c046290, sync=true)
    at /home/chug/git/qpid/qpid/cpp/src/qpid/broker/amqp/Session.cpp:621
#3  0x00007fb83926a72b in qpid::broker::amqp::Session::dispatch (this=0x7fb80c00f470) at /home/chug/git/qpid/qpid/cpp/src/qpid/broker/amqp/Session.cpp:693
#4  0x00007fb839211927 in qpid::broker::amqp::Connection::dispatch (this=0x7fb80c0108a8) at /home/chug/git/qpid/qpid/cpp/src/qpid/broker/amqp/Connection.cpp:286
#5  0x00007fb839211a3c in qpid::broker::amqp::Connection::canEncode (this=0x7fb80c0108a8) at /home/chug/git/qpid/qpid/cpp/src/qpid/broker/amqp/Connection.cpp:301
#6  0x00007fb83925fa24 in qpid::broker::amqp::Sasl::canEncode (this=0x7fb80c010840) at /home/chug/git/qpid/qpid/cpp/src/qpid/broker/amqp/Sasl.cpp:94
#7  0x00007fb83cb4d170 in qpid::sys::AsynchIOHandler::idle (this=0x7fb80c032a00) at /home/chug/git/qpid/qpid/cpp/src/qpid/sys/AsynchIOHandler.cpp:215
#8  0x00007fb83d397e88 in boost::_mfi::mf1<void, qpid::sys::AsynchIOHandler, qpid::sys::AsynchIO&>::operator() (this=0x7fb80c0447d0, p=0x7fb80c032a00, a1=...)
    at /usr/include/boost/bind/mem_fn_template.hpp:165
#9  0x00007fb83d396bb1 in boost::_bi::list2<boost::_bi::value<qpid::sys::AsynchIOHandler*>, boost::arg<1> >::operator()<boost::_mfi::mf1<void, qpid::sys::AsynchIOHandler, qpid::sys::AsynchIO&>, boost::_bi::list1<qpid::sys::AsynchIO&> > (this=0x7fb80c0447e0, f=..., a=...) at /usr/include/boost/bind/bind.hpp:313
#10 0x00007fb83d396060 in boost::_bi::bind_t<void, boost::_mfi::mf1<void, qpid::sys::AsynchIOHandler, qpid::sys::AsynchIO&>, boost::_bi::list2<boost::_bi::value<qpid::sys::AsynchIOHandler*>, boost::arg<1> > >::operator()<qpid::sys::AsynchIO> (this=0x7fb80c0447d0, a1=...) at /usr/include/boost/bind/bind_template.hpp:32
#11 0x00007fb83d395412 in boost::detail::function::void_function_obj_invoker1<boost::_bi::bind_t<void, boost::_mfi::mf1<void, qpid::sys::AsynchIOHandler, qpid::sys::AsynchIO&>, boost::_bi::list2<boost::_bi::value<qpid::sys::AsynchIOHandler*>, boost::arg<1> > >, void, qpid::sys::AsynchIO&>::invoke (function_obj_ptr=..., a0=...)
    at /usr/include/boost/function/function_template.hpp:153
#12 0x00007fb83caae137 in boost::function1<void, qpid::sys::AsynchIO&>::operator() (this=0x7fb80c0447c8, a0=...) at /usr/include/boost/function/function_template.hpp:767
#13 0x00007fb83caabd90 in qpid::sys::posix::AsynchIO::writeable (this=0x7fb80c0445d0, h=...) at /home/chug/git/qpid/qpid/cpp/src/qpid/sys/posix/AsynchIO.cpp:582
#14 0x00007fb83cab31d4 in boost::_mfi::mf1<void, qpid::sys::posix::AsynchIO, qpid::sys::DispatchHandle&>::operator() (this=0x7fb80c044610, p=0x7fb80c0445d0, a1=...)
    at /usr/include/boost/bind/mem_fn_template.hpp:165
#15 0x00007fb83cab2507 in boost::_bi::list2<boost::_bi::value<qpid::sys::posix::AsynchIO*>, boost::arg<1> >::operator()<boost::_mfi::mf1<void, qpid::sys::posix::AsynchIO, qpid::sys::DispatchHandle&>, boost::_bi::list1<qpid::sys::DispatchHandle&> > (this=0x7fb80c044620, f=..., a=...) at /usr/include/boost/bind/bind.hpp:313
#16 0x00007fb83cab17d4 in boost::_bi::bind_t<void, boost::_mfi::mf1<void, qpid::sys::posix::AsynchIO, qpid::sys::DispatchHandle&>, boost::_bi::list2<boost::_bi::value<qpid::sys::posix::AsynchIO*>, boost::arg<1> > >::operator()<qpid::sys::DispatchHandle> (this=0x7fb80c044610, a1=...) at /usr/include/boost/bind/bind_template.hpp:32
#17 0x00007fb83cab07da in boost::detail::function::void_function_obj_invoker1<boost::_bi::bind_t<void, boost::_mfi::mf1<void, qpid::sys::posix::AsynchIO, qpid::sys::DispatchHandle&>, boost::_bi::list2<boost::_bi::value<qpid::sys::posix::AsynchIO*>, boost::arg<1> > >, void, qpid::sys::DispatchHandle&>::invoke (function_obj_ptr=..., a0=...)
    at /usr/include/boost/function/function_template.hpp:153
#18 0x00007fb83cb500e3 in boost::function1<void, qpid::sys::DispatchHandle&>::operator() (this=0x7fb80c044608, a0=...) at /usr/include/boost/function/function_template.hpp:767
#19 0x00007fb83cb4f765 in qpid::sys::DispatchHandle::processEvent (this=0x7fb80c0445d8, type=qpid::sys::Poller::WRITABLE)
    at /home/chug/git/qpid/qpid/cpp/src/qpid/sys/DispatchHandle.cpp:283
#20 0x00007fb83cad509a in qpid::sys::Poller::Event::process (this=0x7fb832b43cb0) at /home/chug/git/qpid/qpid/cpp/src/qpid/sys/Poller.h:131
#21 0x00007fb83cad4480 in qpid::sys::Poller::run (this=0x232c420) at /home/chug/git/qpid/qpid/cpp/src/qpid/sys/epoll/EpollPoller.cpp:522
#22 0x00007fb83cb4e473 in qpid::sys::Dispatcher::run (this=0x7ffcb83a9ae0) at /home/chug/git/qpid/qpid/cpp/src/qpid/sys/Dispatcher.cpp:37
#23 0x00007fb83cac87cd in qpid::sys::(anonymous namespace)::runRunnable (p=0x7ffcb83a9ae0) at /home/chug/git/qpid/qpid/cpp/src/qpid/sys/posix/Thread.cpp:35
#24 0x00007fb83be5852a in start_thread () from /lib64/libpthread.so.0
#25 0x00007fb83bb9422d in clone () from /lib64/libc.so.6"
Bug,QPID-5590,12698116,It is trivially easy to fatally crash qpidd using a dodgy exchange type in a TopicPolicy,gsim,fadams,Closed,Fixed,2015-03-19 12:23,C++,C++ Broker,,,,,,,"It is trivially easy to fatally crash qpidd using a dodgy exchange type in a TopicPolicy

Steps to reproduce:
1) Start up qpidd
2) Create a TopicPolicy
qpid-config add TopicPolicy header-exchange-* --argument exchange-type=foo
3) Attempt to create a matching node
./drain --connection-options {protocol:amqp1.0} -b localhost -f ""header-exchange-test""

qpidd dies saying
""terminate called after throwing an instance of 'qpid::broker::UnknownExchangeTypeException'
Aborted""

It's probably not likely that someone would use ""exchange-type=foo"" but I stumbled across this problem 'cause I accidentally did ""exchange-type=amq.match"" when I meant to use headers, that sort of finger trouble is *reasonably* likely and probably shouldn't be causing a fatal crash.

At a guess the best approach might be to do a check on the QMF create TopicPolicy and check a valid exchange type has been specified there, but it's probably safest to also check when resolving link attachment and send the exception back to the client.
"
Bug,QPID-5646,12703761,Can't build against any released version of proton,astitcher,gsim,Closed,Fixed,2014-06-03 15:34,C++,C++ Broker,C++ Client,,,,,,"as a result of changes for QPID-5631.

Both trunk and beta need to be able to build against a released version of proton."
Bug,QPID-5488,12689352,Apparent corruption of SSL connection,astitcher,jross,Closed,Fixed,2014-02-19 11:30,C++,C++ Broker,C++ Client,,,,,,ssl_test fails.  See attached output for details.
Bug,QPID-5129,12668054,Legacy store fails to compile on ARM due to alignment issues,astitcher,mcpierce,Closed,Fixed,2014-02-19 11:30,C++,C++ Broker,,,,,,,"When compiling on ARM (ARM hfp) the following occurs:
{noformat}
[ 85%] Building CXX object src/CMakeFiles/legacystore.dir/qpid/legacystore/jrnl/deq_rec.o
cd /builddir/build/BUILD/qpid-0.24/cpp/src && /usr/bin/c++   -DXQ_EFFECTIVE_BOOLEAN_VALUE_HPP -D_IN_QPID_BROKER -Dlegacystore_EXPORTS -O2 -g -pipe -Wall -Wp,-D_FORTIFY_SOURCE=2 -fexceptions -fstack-protector-strong --param=ssp-buffer-size=4 -grecord-gcc-switches  -march=armv7-a -mfpu=vfpv3-d16  -mfloat-abi=hard  -fvisibility-inlines-hidden -Werror -pedantic -Wall -Wextra -Wno-shadow -Wpointer-arith -Wcast-qual -Wcast-align -Wno-long-long -Wvolatile-register-var -Winvalid-pch -Wno-system-headers -Woverloaded-virtual -fPIC -I/builddir/build/BUILD/qpid-0.24/cpp/src -I/builddir/build/BUILD/qpid-0.24/cpp/src/../include -I/builddir/build/BUILD/qpid-0.24/cpp/src/qpid/legacystore    -pthread -o CMakeFiles/legacystore.dir/qpid/legacystore/jrnl/deq_rec.o -c /builddir/build/BUILD/qpid-0.24/cpp/src/qpid/legacystore/jrnl/deq_rec.cpp
/builddir/build/BUILD/qpid-0.24/cpp/src/qpid/legacystore/jrnl/deq_rec.cpp: In member function 'virtual u_int32_t mrg::journal::deq_rec::decode(mrg::journal::rec_hdr&, void*, u_int32_t, u_int32_t)':
/builddir/build/BUILD/qpid-0.24/cpp/src/qpid/legacystore/jrnl/deq_rec.cpp:273:63: error: cast from 'char*' to 'u_int64_t* {aka long long unsigned int*}' increases required alignment of target type [-Werror=cast-align]
         _deq_hdr._deq_rid = *(u_int64_t*)((char*)rptr + rd_cnt);
                                                               ^
/builddir/build/BUILD/qpid-0.24/cpp/src/qpid/legacystore/jrnl/deq_rec.cpp:278:65: error: cast from 'char*' to 'std::size_t* {aka unsigned int*}' increases required alignment of target type [-Werror=cast-align]
         _deq_hdr._xidsize = *(std::size_t*)((char*)rptr + rd_cnt);
                                                                 ^
cc1plus: all warnings being treated as errors
make[2]: Leaving directory `/builddir/build/BUILD/qpid-0.24/cpp'
make[2]: *** [src/CMakeFiles/legacystore.dir/qpid/legacystore/jrnl/deq_rec.o] Error 1
make[1]: *** [src/CMakeFiles/legacystore.dir/all] Error 2
{noformat}"
Bug,QPID-5445,12686235,Make install writes to OS-reserved location despite setting prefix,mcpierce,jross,Closed,Fixed,2014-02-19 11:30,C++,C++ Broker,C++ Client,,,,,,"The qmfgen install ignores the install prefix.  An unprivileged install will fail:

http://people.apache.org/~jross/qpid-cpp-0.26-rc2-make-install-to-prefix.txt

Worse, a privileged install can overwrite system-installed code."
Bug,QPID-4907,12650887,qpid-tool displays duplicate entries for objects managed by the broker.,kgiusti,kgiusti,Closed,Fixed,2014-02-19 11:30,C++,C++ Broker,C++ Tools,QMF,,,,,"qpid-tool displays two entries for each object managed by the broker.

Example:

$ qpid-config add queue KEN-Q
$ qpid-tool

Management Tool for QPID
qpid: list queue
Object Summary:
    ID   Created   Destroyed  Index
    ============================================================
    141  14:19:42  -          169.KEN-Q
<SNIP>
    156  14:19:42  -          org.apache.qpid.broker:queue:KEN-Q
<SNIP>
qpid: "
Bug,QPID-5439,12685716,[AMQP 1.0 JMS client] Client hangs during connection.close(),,uromahn,Closed,Fixed,2014-02-19 11:30,C++,C++ Broker,JMS AMQP 0-x,,,,,,"I am connecting to a cpp broker via the amqp-1-0-client-jms client and send 1000 simple text messages to a queue on the broker. After that, I am opening a second session to receive those 1000 messages.
When trying to close the connection (calling connection.close()), the client ""hangs"". When I look at the broker (qpid-tool, list connection) I am still seeing this connection open.
Debugging through the code, shows that there is a lock in the class org.apache.qpid.amqp_1_0.client.Sender at the following code in method close():
...
        _session.removeSender(this);
        _endpoint.setSource(null);
        _endpoint.detach();
        _closed = true;

        synchronized(_endpoint.getLock())
        {
            while(!_endpoint.isDetached())
            {
                try
                {
                    _endpoint.getLock().wait();
                }
                catch (InterruptedException e)
                {
                    throw new SenderClosingException(e);
                }
            }
        }

It actually seems to hang at the line "" _endpoint.getLock().wait(); ""
NOTE: the exact same code works when running against a Java broker 0.24."
Bug,QPID-4883,12649195,C++ Broker may crash if client provides SSL certificate without CommonName entry.,kgiusti,kgiusti,Closed,Fixed,2013-09-08 13:37,C++,C++ Broker,,,,,,,"Broker does not check for a null pointer return value from the Certificate parsing routines.
"
Bug,QPID-4950,12654930,"Exchange statistics byteReceives, byteDrops, byteRoutes do not increment.",gsim,kgiusti,Closed,Fixed,2013-09-08 13:37,C++,C++ Broker,,,,,,,Found by Fraser Adams.
Bug,QPID-5055,12662599,paged queues count of loaded pages is not initialised,gsim,gsim,Closed,Fixed,2013-09-08 13:37,C++,C++ Broker,,,,,,,Meaning it is the luck of the draw as to whether it actually enforces the maximum loaded page count.
